Loudness calculation according to ISO 532-1 for time varying sounds;
;
Nmax / sone (free field); 0.9993
N5 / sone (free field); 0.9993
;
t / s; N / sone (free field)
0.0000;0.0000
0.0020;0.0075
0.0040;0.1100
0.0060;0.2648
0.0080;0.4054
0.0100;0.4964
0.0120;0.5412
0.0140;0.5644
0.0160;0.5784
0.0180;0.5891
0.0200;0.5991
0.0220;0.6092
0.0240;0.6189
0.0260;0.6285
0.0280;0.6383
0.0300;0.6480
0.0320;0.6575
0.0340;0.6669
0.0360;0.6760
0.0380;0.6849
0.0400;0.6936
0.0420;0.7021
0.0440;0.7103
0.0460;0.7183
0.0480;0.7262
0.0500;0.7338
0.0520;0.7412
0.0540;0.7484
0.0560;0.7554
0.0580;0.7622
0.0600;0.7689
0.0620;0.7753
0.0640;0.7816
0.0660;0.7877
0.0680;0.7936
0.0700;0.7994
0.0720;0.8050
0.0740;0.8105
0.0760;0.8158
0.0780;0.8209
0.0800;0.8259
0.0820;0.8308
0.0840;0.8356
0.0860;0.8402
0.0880;0.8446
0.0900;0.8490
0.0920;0.8532
0.0940;0.8573
0.0960;0.8613
0.0980;0.8652
0.1000;0.8690
0.1020;0.8726
0.1040;0.8762
0.1060;0.8797
0.1080;0.8830
0.1100;0.8863
0.1120;0.8895
0.1140;0.8926
0.1160;0.8956
0.1180;0.8985
0.1200;0.9013
0.1220;0.9041
0.1240;0.9068
0.1260;0.9094
0.1280;0.9119
0.1300;0.9144
0.1320;0.9168
0.1340;0.9191
0.1360;0.9213
0.1380;0.9235
0.1400;0.9257
0.1420;0.9277
0.1440;0.9298
0.1460;0.9317
0.1480;0.9336
0.1500;0.9355
0.1520;0.9373
0.1540;0.9390
0.1560;0.9407
0.1580;0.9424
0.1600;0.9440
0.1620;0.9455
0.1640;0.9470
0.1660;0.9485
0.1680;0.9499
0.1700;0.9513
0.1720;0.9527
0.1740;0.9540
0.1760;0.9553
0.1780;0.9565
0.1800;0.9577
0.1820;0.9589
0.1840;0.9600
0.1860;0.9611
0.1880;0.9622
0.1900;0.9632
0.1920;0.9643
0.1940;0.9652
0.1960;0.9662
0.1980;0.9671
0.2000;0.9680
0.2020;0.9689
0.2040;0.9698
0.2060;0.9706
0.2080;0.9714
0.2100;0.9722
0.2120;0.9730
0.2140;0.9737
0.2160;0.9744
0.2180;0.9751
0.2200;0.9758
0.2220;0.9765
0.2240;0.9771
0.2260;0.9777
0.2280;0.9783
0.2300;0.9789
0.2320;0.9795
0.2340;0.9800
0.2360;0.9806
0.2380;0.9811
0.2400;0.9816
0.2420;0.9821
0.2440;0.9826
0.2460;0.9831
0.2480;0.9835
0.2500;0.9840
0.2520;0.9844
0.2540;0.9848
0.2560;0.9852
0.2580;0.9856
0.2600;0.9860
0.2620;0.9864
0.2640;0.9867
0.2660;0.9871
0.2680;0.9874
0.2700;0.9878
0.2720;0.9881
0.2740;0.9884
0.2760;0.9887
0.2780;0.9890
0.2800;0.9893
0.2820;0.9896
0.2840;0.9899
0.2860;0.9901
0.2880;0.9904
0.2900;0.9906
0.2920;0.9909
0.2940;0.9911
0.2960;0.9913
0.2980;0.9916
0.3000;0.9918
0.3020;0.9920
0.3040;0.9922
0.3060;0.9924
0.3080;0.9926
0.3100;0.9928
0.3120;0.9930
0.3140;0.9931
0.3160;0.9933
0.3180;0.9935
0.3200;0.9936
0.3220;0.9938
0.3240;0.9940
0.3260;0.9941
0.3280;0.9942
0.3300;0.9944
0.3320;0.9945
0.3340;0.9947
0.3360;0.9948
0.3380;0.9949
0.3400;0.9950
0.3420;0.9952
0.3440;0.9953
0.3460;0.9954
0.3480;0.9955
0.3500;0.9956
0.3520;0.9957
0.3540;0.9958
0.3560;0.9959
0.3580;0.9960
0.3600;0.9961
0.3620;0.9962
0.3640;0.9963
0.3660;0.9963
0.3680;0.9964
0.3700;0.9965
0.3720;0.9966
0.3740;0.9967
0.3760;0.9967
0.3780;0.9968
0.3800;0.9969
0.3820;0.9969
0.3840;0.9970
0.3860;0.9971
0.3880;0.9971
0.3900;0.9972
0.3920;0.9973
0.3940;0.9973
0.3960;0.9974
0.3980;0.9974
0.4000;0.9975
0.4020;0.9975
0.4040;0.9976
0.4060;0.9976
0.4080;0.9977
0.4100;0.9977
0.4120;0.9978
0.4140;0.9978
0.4160;0.9978
0.4180;0.9979
0.4200;0.9979
0.4220;0.9980
0.4240;0.9980
0.4260;0.9980
0.4280;0.9981
0.4300;0.9981
0.4320;0.9981
0.4340;0.9982
0.4360;0.9982
0.4380;0.9982
0.4400;0.9983
0.4420;0.9983
0.4440;0.9983
0.4460;0.9983
0.4480;0.9984
0.4500;0.9984
0.4520;0.9984
0.4540;0.9984
0.4560;0.9985
0.4580;0.9985
0.4600;0.9985
0.4620;0.9985
0.4640;0.9985
0.4660;0.9986
0.4680;0.9986
0.4700;0.9986
0.4720;0.9986
0.4740;0.9986
0.4760;0.9987
0.4780;0.9987
0.4800;0.9987
0.4820;0.9987
0.4840;0.9987
0.4860;0.9987
0.4880;0.9988
0.4900;0.9988
0.4920;0.9988
0.4940;0.9988
0.4960;0.9988
0.4980;0.9988
0.5000;0.9988
0.5020;0.9988
0.5040;0.9989
0.5060;0.9989
0.5080;0.9989
0.5100;0.9989
0.5120;0.9989
0.5140;0.9989
0.5160;0.9989
0.5180;0.9989
0.5200;0.9989
0.5220;0.9989
0.5240;0.9990
0.5260;0.9990
0.5280;0.9990
0.5300;0.9990
0.5320;0.9990
0.5340;0.9990
0.5360;0.9990
0.5380;0.9990
0.5400;0.9990
0.5420;0.9990
0.5440;0.9990
0.5460;0.9990
0.5480;0.9990
0.5500;0.9991
0.5520;0.9991
0.5540;0.9991
0.5560;0.9991
0.5580;0.9991
0.5600;0.9991
0.5620;0.9991
0.5640;0.9991
0.5660;0.9991
0.5680;0.9991
0.5700;0.9991
0.5720;0.9991
0.5740;0.9991
0.5760;0.9991
0.5780;0.9991
0.5800;0.9991
0.5820;0.9991
0.5840;0.9991
0.5860;0.9991
0.5880;0.9991
0.5900;0.9991
0.5920;0.9991
0.5940;0.9992
0.5960;0.9992
0.5980;0.9992
0.6000;0.9992
0.6020;0.9992
0.6040;0.9992
0.6060;0.9992
0.6080;0.9992
0.6100;0.9992
0.6120;0.9992
0.6140;0.9992
0.6160;0.9992
0.6180;0.9992
0.6200;0.9992
0.6220;0.9992
0.6240;0.9992
0.6260;0.9992
0.6280;0.9992
0.6300;0.9992
0.6320;0.9992
0.6340;0.9992
0.6360;0.9992
0.6380;0.9992
0.6400;0.9992
0.6420;0.9992
0.6440;0.9992
0.6460;0.9992
0.6480;0.9992
0.6500;0.9992
0.6520;0.9992
0.6540;0.9992
0.6560;0.9992
0.6580;0.9992
0.6600;0.9992
0.6620;0.9992
0.6640;0.9992
0.6660;0.9992
0.6680;0.9992
0.6700;0.9992
0.6720;0.9992
0.6740;0.9992
0.6760;0.9992
0.6780;0.9992
0.6800;0.9992
0.6820;0.9992
0.6840;0.9992
0.6860;0.9992
0.6880;0.9992
0.6900;0.9992
0.6920;0.9992
0.6940;0.9992
0.6960;0.9992
0.6980;0.9992
0.7000;0.9992
0.7020;0.9992
0.7040;0.9992
0.7060;0.9992
0.7080;0.9992
0.7100;0.9992
0.7120;0.9992
0.7140;0.9992
0.7160;0.9992
0.7180;0.9992
0.7200;0.9992
0.7220;0.9992
0.7240;0.9992
0.7260;0.9992
0.7280;0.9992
0.7300;0.9992
0.7320;0.9992
0.7340;0.9992
0.7360;0.9992
0.7380;0.9992
0.7400;0.9992
0.7420;0.9992
0.7440;0.9993
0.7460;0.9993
0.7480;0.9993
0.7500;0.9993
0.7520;0.9993
0.7540;0.9993
0.7560;0.9993
0.7580;0.9993
0.7600;0.9993
0.7620;0.9993
0.7640;0.9993
0.7660;0.9993
0.7680;0.9993
0.7700;0.9993
0.7720;0.9993
0.7740;0.9993
0.7760;0.9993
0.7780;0.9993
0.7800;0.9993
0.7820;0.9993
0.7840;0.9993
0.7860;0.9993
0.7880;0.9993
0.7900;0.9993
0.7920;0.9993
0.7940;0.9993
0.7960;0.9993
0.7980;0.9993
0.8000;0.9993
0.8020;0.9993
0.8040;0.9993
0.8060;0.9993
0.8080;0.9993
0.8100;0.9993
0.8120;0.9993
0.8140;0.9993
0.8160;0.9993
0.8180;0.9993
0.8200;0.9993
0.8220;0.9993
0.8240;0.9993
0.8260;0.9993
0.8280;0.9993
0.8300;0.9993
0.8320;0.9993
0.8340;0.9993
0.8360;0.9993
0.8380;0.9993
0.8400;0.9993
0.8420;0.9993
0.8440;0.9993
0.8460;0.9993
0.8480;0.9993
0.8500;0.9993
0.8520;0.9993
0.8540;0.9993
0.8560;0.9993
0.8580;0.9993
0.8600;0.9993
0.8620;0.9993
0.8640;0.9993
0.8660;0.9993
0.8680;0.9993
0.8700;0.9993
0.8720;0.9993
0.8740;0.9993
0.8760;0.9993
0.8780;0.9993
0.8800;0.9993
0.8820;0.9993
0.8840;0.9993
0.8860;0.9993
0.8880;0.9993
0.8900;0.9993
0.8920;0.9993
0.8940;0.9993
0.8960;0.9993
0.8980;0.9993
0.9000;0.9993
0.9020;0.9993
0.9040;0.9993
0.9060;0.9993
0.9080;0.9993
0.9100;0.9993
0.9120;0.9993
0.9140;0.9993
0.9160;0.9993
0.9180;0.9993
0.9200;0.9993
0.9220;0.9993
0.9240;0.9993
0.9260;0.9993
0.9280;0.9993
0.9300;0.9993
0.9320;0.9993
0.9340;0.9993
0.9360;0.9993
0.9380;0.9993
0.9400;0.9993
0.9420;0.9993
0.9440;0.9993
0.9460;0.9993
0.9480;0.9993
0.9500;0.9993
0.9520;0.9993
0.9540;0.9993
0.9560;0.9993
0.9580;0.9993
0.9600;0.9993
0.9620;0.9993
0.9640;0.9993
0.9660;0.9993
0.9680;0.9993
0.9700;0.9993
0.9720;0.9993
0.9740;0.9993
0.9760;0.9993
0.9780;0.9993
0.9800;0.9993
0.9820;0.9993
0.9840;0.9993
0.9860;0.9993
0.9880;0.9993
0.9900;0.9993
0.9920;0.9993
0.9940;0.9993
0.9960;0.9993
0.9980;0.9993
